itemId,brand,name,price,link,rating,reviews_count,product_type,for_whom,skin_type,area,volume
19000226472,savonry,savonry,3612.0,https://goldapple.kz/19000226472-drevesnaa-svezest-i-citruc,5.0,10,мыло жидкое,unisex,all,other,500 мл
19000319296,carbon theory,carbon theory,5478.0,https://goldapple.kz/19000319296-anti-breakout-exfoliating,4.7,30,скраб для лица,unisex,all,face,100 мл
19000337974,ostwint,ostwint,1625.0,https://goldapple.kz/19000337974-02-extra-fresh,4.6,90,гель для душа,men,all,not_specified,250 мл
19000164471,mettler 1929,mettler 1929,8871.0,https://goldapple.kz/19000164471-stc-anti-aging-hand-cream,4.0,10,крем для рук,unisex,all,other,30 мл
26280100016,valmont,valmont,43312.0,https://goldapple.kz/26280100016-bubble-falls,4.4,620,пенка для лица,women,combination,face,150 мл
19000065696,protex,protexprotx bs frsh 12x6x90g cyr wr,543.0,https://goldapple.kz/19000065696-fresh,0.0,0,мыло твердое,unisex,all,body,
19000106058,yokosun,yokosun,9066.0,https://goldapple.kz/19000106058-premium-5-10-kg,4.8,410,подгузники,unknown,not_specified,body,
19000035921,baffy,baffy,1626.0,https://goldapple.kz/19000035921-cvetnye-tabletki-sinaa-i-zeltaa,5.0,20,бомбочки для ванн,kids,all,not_specified,
19000391296,tiswell,tiswell,2232.0,https://goldapple.kz/19000391296-detox-otbelivanie-grejpfrut,4.8,50,зубная паста,unknown,not_specified,not_specified,
19000009566,geomar,geomar,6560.0,https://goldapple.kz/19000009566-emollient-thalasso-scrub-with-strawberry-seeds,4.7,220,скраб для тела,women,all,body,
19000293343,piyol,piyolbio relief soothing,26100.0,https://goldapple.kz/19000293343-bio-relief-soothing,0.0,0,сыворотка для лица,women,all,face,50 мл
19000088116,гельтек,гельтек,9950.0,https://goldapple.kz/19000088116-neo-hydratation,4.3,30,гель для лица,unisex,dry,face,100 мл
19000255026,philosophy by alex kontier,philosophy by alex kontier,13638.0,https://goldapple.kz/19000255026-magic-wood,4.3,30,лосьон для тела,unisex,all,body,250 мл
1014300013,discreet,discreet,2552.0,https://goldapple.kz/1014300013-air-multiform,5.0,280,прокладки ежедневные,women,not_specified,body,
19000202587,beauty bomb,beauty bomb,1403.0,https://goldapple.kz/19000202587-lip-balm-hempt,4.6,240,бальзам для губ,unknown,all,lips,18 мл
19000201188,don't touch my skin,don't touch my skin,41615.0,https://goldapple.kz/19000201188-acids-and-assets,4.8,130,подарочный набор,women,all,face,
19000325606,darphin,darphin,60811.0,https://goldapple.kz/19000325606-elixir-8-flower-nectar,2.0,10,масло для лица,unisex,all,face,15 мл
19000065694,protex,protexprotx bs aloe biocide 12x6x90g cyr wr,629.0,https://goldapple.kz/19000065694-aloe,0.0,0,мыло твердое,unisex,all,body,
1012700020,old spice,old spicebearglove,2021.0,https://goldapple.kz/1012700020-bearglove,0.0,0,unknown,unknown,not_specified,not_specified,
19000470382,lolidom,lolidomcumberland,1970.0,https://goldapple.kz/19000470382-cumberland,0.0,0,гель для душа,unisex,all,not_specified,400 мл
19000337976,ostwint,ostwint,1625.0,https://goldapple.kz/19000337976-04-boost,4.1,100,гель для душа,men,all,not_specified,250 мл
19000476917,café mimi,café mimi,1748.0,https://goldapple.kz/19000476917-warm-vanilla,4.3,60,бальзам для губ,unisex,all,lips,
19000070238,medi-peel,medi-peel,15385.0,https://goldapple.kz/19000070238-5gf-eye-tox-cream,4.0,400,крем для глаз,unisex,all,eyes,40 мл
19000322955,moppie,moppieovernight,1985.0,https://goldapple.kz/19000322955-overnight,0.0,0,прокладки,women,not_specified,body,
19000322214,splat,"splatфтор, арбуз",1004.0,https://goldapple.kz/19000322214-ftor-arbuz,0.0,0,зубная паста,kids,not_specified,not_specified,35 мл
19000128242,palmolive,palmolive,739.0,https://goldapple.kz/19000128242-intensivnoe-uvlaznenie,5.0,10,мыло твердое,unisex,all,body,
19000187922,zeroid,zeroid,14904.0,https://goldapple.kz/19000187922-intensive,4.4,70,сыворотка для лица,unisex,dry,face,30 мл
19000049106,yokosun,yokosun,7353.0,https://goldapple.kz/19000049106-razmer-xl-12-20-kg,4.8,290,трусики-подгузники,unknown,not_specified,body,
19000180825,medi-peel,medi-peel,19179.0,https://goldapple.kz/19000180825-cell-toxing-dermajours-repair,4.3,860,крем для глаз,unisex,sensitive,eyes,30 мл
36290300011,old spice,old spice,1814.0,https://goldapple.kz/36290300011-captain,4.8,880,дезодорант,men,all,body,50 мл
19000237752,jack n jill,jack n jill,5374.0,https://goldapple.kz/19000237752-pal-cikovaa-silikonovaa-6-12-mes,5.0,10,unknown,unknown,not_specified,not_specified,
19000015681,medipharma cosmetics,medipharma cosmetics,9523.0,https://goldapple.kz/19000015681-olivenol,4.1,90,крем для лица,women,sensitive,face,50 мл
19000122954,meder beauty science,meder beauty sciencesoin-apax,37541.0,https://goldapple.kz/19000122954-soin-apax,0.0,0,сыворотка для лица,unisex,all,face,50 мл
19000337530,collistar,collistar,23042.0,https://goldapple.kz/19000337530-oil-free-moisturizer,5.0,10,гель для лица,men,combination,face,80 мл
19000096309,predige,predige,98206.0,https://goldapple.kz/19000096309-ultra-serum,5.0,10,сыворотка для лица,women,all,face,30 мл
19000168276,holika holika,holika holika,6343.0,https://goldapple.kz/19000168276-black-caviar-anti-wrinkle-toner,4.8,600,тонер,women,all,face,110 мл
19000221704,ecoboom,ecoboomм (6-10 kg),4684.0,https://goldapple.kz/19000221704-m-6-10-kg,0.0,0,подгузники,unknown,not_specified,not_specified,
99630200004,perioe,perioe,2887.0,https://goldapple.kz/99630200004-total-7-original,4.8,230,зубная паста,unisex,not_specified,not_specified,
19000301721,baffy,baffy,1399.0,https://goldapple.kz/19000301721-cvetnye-tabletki-malinovaa-i-zeltaa,5.0,20,бомбочки для ванн,kids,all,not_specified,
19000097141,b.tan,b.tan,15664.0,https://goldapple.kz/19000097141-say-aloe-to-my-little-friend-soothing-after-sun-gel,4.5,20,гель для тела,unisex,all,body,473 мл
19000094239,kora,kora,4221.0,https://goldapple.kz/19000094239-multi-active-cream-protection-and-radiance,4.0,20,крем для лица,women,для обезвоженной кожи,face,50 мл
19000455603,rp paris,rp parisparadise,10271.0,https://goldapple.kz/19000455603-paradise,0.0,0,спреи и мисты для тела,women,all,body,250 мл
19000035183,old spice,old spice,1800.0,https://goldapple.kz/19000035183-nightpanther,4.7,330,дезодорант,men,all,body,150 мл
30330300005,ecolatier,ecolatier,2674.0,https://goldapple.kz/30330300005-basil-kitchen-hands,4.5,200,мыло жидкое,unisex,all,other,600 мл
19000194634,vandini,vandini,5706.0,https://goldapple.kz/19000194634-vitality-body-lotion-vanilla-blossom-macadamia-oil,2.5,20,лосьон для тела,unisex,all,body,200 мл
6032900007,garnier,garnier,1660.0,https://goldapple.kz/6032900007-mineral-zaschita-6-ochischajuschaja-moringa,4.7,510,дезодорант-антиперспирант,men,all,body,50 мл
19760313570,eveline,evelinefacemed+ cleansing,1205.0,https://goldapple.kz/19760313570-facemed,0.0,0,скраб для лица,women,all,face,75 мл
